X1 X2 X3 X4
15.57 15.82 14.93 16.43
15.84 15.58 16.28 15.61
15.54 16.27 16.4 16.21
15.62 16.04 16.46 15.21
15.97 16.05 16.03 16.02
15.65 15.69 16.16 15.6
16.07 16.64 15.53 16.56
16.27 16.07 16.54 16.36
14.28 14.65 15.21 14.67
15.53 17.01 16.46 16.51
16.57 17.08 16.06 16.03
15.54 15.47 15.8 15.7
14.78 16.28 16.05 16.09
16.88 15.77 17.67 16.02
15.47 15.54 15.69 15.66
16.55 16.79 16.41 16.05
15.96 15.85 16.08 15.79
15.91 16.92 15.61 15.97
15.88 15.8 15.08 16.03
16.36 15.47 15.41 16.15
16.22 16.14 16.73 14.95
16.64 15.78 16.04 15.33
17.48 16.61 16.02 17.02
15.66 15.07 15.79 16.97
15.92 15.43 14.52 15.56
